Code CIS,Designation de lelement pharmaceutique,Code de la substance,Dénomination de la substance,Dosage de la substance,Reference de ce dosage,Nature du composant,Numero de liaison SA/FT
61388471,suspension,41788,PROPIONATE DE FLUTICASONE,250 microgrammes,une dose,SA,1
61388877,granules,263,PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES,6 DH,une dose,SA,6
61389541,collyre,346,POLY(ALCOOL VINYLIQUE),"5,60 mg",un récipient unidose,SA,1
61390351,comprimé,37430,RISPÉRIDONE,3 mg,un comprimé,SA,1
61391268,gel,2969,DIMÉTICONE,"3,000 g",un sachet-dose de 10 g,SA,2
61391955,comprimé,19809,ATORVASTATINE,20 mg,un comprimé,FT,1
61392249,poudre,3158,AMPICILLINE SODIQUE,,,SA,2
61392480,comprimé,80102,MONTÉLUKAST,10 mg,un comprimé,FT,1
61393881,gel,22692,KÉTOCONAZOLE,120 mg,un sachet-dose de 6 g,SA,1
61394054,comprimé,98159,TADALAFIL,20 mg,un comprimé,SA,1
61394570,comprimé,24563,CLARITHROMYCINE,"250,00 mg",un comprimé,SA,1
61396087,comprimé,428,CARBONATE DE CALCIUM,"2,50 g",un comprimé,SA,1
61396272,comprimé,39306,EXÉMESTANE,25 mg,un comprimé,SA,1
61396347,comprimé,3885,LÉVODOPA,75 mg,un comprimé,SA,1
61396361,solution,13582,DESMOPRESSINE (ACÉTATE DE) TRIHYDRATÉ,150 microgrammes,une dose,SA,1
61396468,comprimé,819,INDAPAMIDE,"2,5 mg",un comprimé,SA,2
61397883,comprimé,2261,PROPYLTHIOURACILE,50 mg,un comprimé,SA,1
61397901,solution,4150,ATROPINE (SULFATE D'),"0,50 mg",une ampoule de 1 ml,SA,1
61398654,comprimé,95484,AMBRISENTAN,5 mg,un comprimé,SA,1
61398768,capsule,36065,DUTASTÉRIDE,"0,5 mg",une capsule,SA,1
61400094,solution,899,BICARBONATE DE SODIUM,"1,40 g",100 ml de solution injectable,SA,1
61400297,gélule,39422,PRÉGABALINE,100 mg,une gélule,SA,1
61400411,comprimé blanc,196,LÉVONORGESTREL,100 microgrammes,un comprimé,SA,2
61400596,poudre,2202,PARACÉTAMOL,300 mg,un sachet-dose,SA,1
61400703,solution,21365,SÉMAGLUTIDE ,"0,5 mg","une dose dans 0,37 mL",SA,1
61400781,comprimé,33803,CHLORHYDRATE DE DONÉPÉZIL,10 mg,un comprimé,SA,1
61401189,gélule,16849,GABAPENTINE,400 mg,une gélule,SA,1
61401463,gélule,29335,SUNITINIB,"12,5 mg",une gélule,SA,1
61402736,suspension,46487,"VIRUS DE LA GRIPPE FRAGMENTÉ, INACTIVÉ, SOUCHE B/PHUKET/3073/2013 - SOUCHE ANALOGUE (B/PHUKET/3073/2013, TYPE SAUVAGE) ",15 microgrammes d'hémagglutinine,"une dose de 0,5 ml",SA,4
61403425,gélule,20256,CHLORHYDRATE DE VENLAFAXINE,"84,850 mg",une gélule,SA,1
61404477,solution,44461,INSULINE GLARGINE ,100 UI,1 ml de la solution injectable,SA,17
61404858,sirop,1740,HÉLICIDINE,10 ml,100 ml de sirop,SA,1
61405134,collyre,628,CÉTYLPYRIDINIUM (CHLORURE DE),"2,5 mg",un flacon,SA,1
61405223,solution,46352,DARBÉPOÉTINE ALFA ,200 microgrammes,1 ml,SA,1
61405814,gomme,30981,RÉSINATE DE NICOTINE,"28,40 mg",une gomme,SA,1
61406236,pommade,677,LEDUM PALUSTRE POUR PRÉPARATIONS HOMÉOPATHIQUES,"1,5 g (TM)",100 g de pommade,SA,2
61406371,comprimé,428,CALCIUM (CARBONATE DE),,,SA,2
61406745,granulés,1014,ACÉTYLCYSTÉINE,600 mg,un sachet,SA,1
61406866,comprimé,38524,PANTOPRAZOLE,20 mg,un comprimé,FT,1
61407427,comprimé,95609,LÉVÉTIRACÉTAM,1000 mg,un comprimé,SA,1
61407637,gélule,29335,SUNITINIB,"12,5 mg",une gélule,SA,1
61408707,poudre,79576,MACROGOL 3350,"5,9 g",un sachet,SA,1
61409314,solution,70202,BÉVACIZUMAB ,25 mg,1 mL de solution,SA,1
61410569,comprimé,12870,ÉBASTINE,10 mg,un comprimé,SA,1
61410829,comprimé,32050,SUCCINATE DE SOLIFÉNACINE,"10,0 mg",un comprimé,SA,1
61410900,comprimé,17723,OLANZAPINE,10 mg,un comprimé,SA,1
61411315,poudre,51799,LONOCTOCOG ALFA ,2500 UI,un flacon,SA,1
61411404,comprimé,19809,ATORVASTATINE,10 mg,un comprimé,FT,1
61411557,comprimé,2202,PARACÉTAMOL,500 mg,un comprimé,SA,1
61411685,comprimé,10171,SIMVASTATINE,20 mg,un comprimé,SA,1
61411863,comprimé,7055,DOXYCYCLINE MONOHYDRATÉE,"52,05 mg",un comprimé,SA,1
61412157,implant,1927,ACÉTONIDE DE FLUOCINOLONE,190 microgrammes,1 implant,SA,1
61412919,comprimé,16458,CHLORHYDRATE D'ALIZAPRIDE,"55,8 mg",un comprimé,SA,2
61412965,solution,60217,MILRINONE,1 mg,1 ml de solution,SA,1
61414553,gélule,55777,TARTRATE D'ÉLIGLUSTAT,100 mg,un comprimé,SA,1
61415185,comprimé,1976,GLIBENCLAMIDE,"2,5 mg",un comprimé,SA,1
61415580,comprimé,62172,ÉPLÉRÉNONE,25 mg,un comprimé,SA,1
61416209,comprimé,86571,CHLORHYDRATE DE TRAMADOL,150 mg,un comprimé,SA,1
61417407,collyre,200,MALÉATE DE TIMOLOL,"0,683 g",100 ml de collyre en solution,SA,1
61417784,comprimé,12999,ZOPICLONE,"7,500 mg",un comprimé,SA,1
61417987,solution,2345,MÉTHOTREXATE,"12,5 mg","0,5 ml de solution injectable",SA,1
61419568,comprimé,1807,ÉTHINYLESTRADIOL,30 microgrammes,un comprimé,SA,2
61420022,comprimé,36746,CHLORHYDRATE DE LERCANIDIPINE,10 mg,un comprimé,SA,1
61420645,comprimé,35876,CHLORHYDRATE DE ROPINIROLE,,,SA,1
61420887,capsule,85087,TAFAMIDIS,61 mg,une capsule,SA,1
61420990,comprimé,89276,FÉBUXOSTAT,120 mg,un comprimé,SA,1
61421786,suspension,4661,GEL DE PHOSPHATE D'ALUMINIUM,"12,380 g",un sachet de 20 g,SA,1
61422183,gélule,20256,CHLORHYDRATE DE VENLAFAXINE,,,SA,1
61422735,comprimé,80102,MONTÉLUKAST ACIDE,5 mg,un comprimé,FT,1
61423246,poudre,6375,PENTAMIDINE (ISÉTIONATE DE),300 mg,un flacon,SA,1
61424743,comprimé,17407,ÉSOMÉPRAZOLE,40 mg,un comprimé,FT,1
61425560,solution,713,ÉTOPOSIDE,20 mg,1 ml de solution à diluer pour perfusion,SA,1
61425674,solution,2543,OXOMÉMAZINE,"0,033 g",100 ml de solution buvable,SA,1
61425934,comprimé,29337,TÉNOFOVIR DISOPROXIL,245 mg,un comprimé,FT,1
61426025,comprimé,1493,CLOMIPRAMINE (CHLORHYDRATE DE),75 mg,un comprimé,SA,1
61426655,solution,6494,ACÉTATE D'OCTRÉOTIDE,,,SA,1
61427166,comprimé,7901,HYOSCYAMUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,1 ml de solution injectable,SA,17
61429046,suspension,4834,EMBONATE DE PYRANTEL,"14,410 g",100 ml de suspension buvable,SA,1
61429587,comprimé,6447,MAGNESIA SULFURICA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,100 ml de suspension buvable,SA,17
61429758,solution,97883,SOMATROGON ,60 mg,"un stylo prérempli de 1,2 mL de solution",SA,1
61429847,comprimé,21888,CHLORHYDRATE DE BUPRÉNORPHINE,"4,32 mg",un comprimé,SA,1
61429943,solution,6492,ATRACURIUM (BÉSILATE D'),250 mg,un flacon,SA,1
61430002,gomme,30981,NICOTINE (RÉSINATE DE),20 mg,une gomme à mâcher médicamenteuse,SA,1
61430397,patch,37973,RIVASTIGMINE,"13,8 mg","un patch transdermique de 9,2 cm",SA,1
61430696,comprimé,19809,ATORVASTATINE,20 mg,un comprimé,FT,2
61430956,solution,23986,TÉMOPORFINE,4 mg,1 ml de solution injectable,SA,6
61431008,poudre,30925,CEFTRIAXONE SODIQUE,,,SA,1
61432067,poudre,1316,CEFTAZIDIME PENTAHYDRATÉE,,,SA,1
61432512,comprimé,23247,IVABRADINE,"7,5 mg",un comprimé,FT,1
61433564,poudre,24563,CLARITHROMYCINE,500 mg,un flacon,SA,1
61434805,solution,812,BACLOFÈNE,10 mg,une ampoule de 20 ml,SA,1
61435483,comprimé,26727,ROSUVASTATINE CALCIQUE,"5,2 mg",un comprimé,SA,1
61435661,comprimé,17723,OLANZAPINE,15 mg,un comprimé,SA,1
61435939,comprimé,12999,ZOPICLONE,"3,75 mg",un comprimé,SA,1
61436304,solution,762,ATÉNOLOL,5 mg,une ampoule de 10 ml,SA,1
61436457,gélule,24996,ZONISAMIDE,100 mg,une gélule,SA,1
61437096,comprimé,1637,DIAZÉPAM,10 mg,un comprimé,SA,1
61437623,gélule,51371,FUMARATE DE DIMÉTHYLE,120 mg,une gélule,SA,1
61438166,comprimé,12999,ZOPICLONE,"7,5 mg",un comprimé,SA,1
61438732,comprimé,2414,CHLORHYDRATE DE MOXISYLYTE,30 mg,un comprimé,SA,1
61438974,comprimé,67549,RABÉPRAZOLE,"9,42 mg",un comprimé,FT,1
61439909,comprimé,39841,VORTIOXÉTINE,15 mg,un comprimé,FT,1
61440256,gélule,11650,CIPROFIBRATE,100 mg,une gélule,SA,1
61440306,suspension,63468,VIRUS DE L'ENCÉPHALITE À TIQUE SOUCHE NEUDOERFL INACTIVÉ ,"1,2 microgrammes","une dose de 0,25 ml",SA,1
61442104,comprimé,819,INDAPAMIDE,"2,5 mg",un comprimé,SA,2
61442353,comprimé,27352,TOSILATE DE SORAFÉNIB,"274,0 mg",un comprimé,SA,1
61443583,comprimé,4006,BERBERIS VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
61444219,collyre,200,MALÉATE DE TIMOLOL,,,SA,2
61444322,suspension,19944,PALIPÉRIDONE,525 mg,une seringue préremplie,FT,1
61444436,dispositif,4458,TRINITRINE,"44,8 mg",un dispositif,SA,1
61444482,comprimé blanc,4287,VALÉRATE D'ESTRADIOL,2 mg,un comprimé,SA,11
61446031,solution,892,PHYTOLACCA DECANDRA POUR PRÉPARATIONS HOMÉOPATHIQUES,"333,3 mg (5 CH)",un récipient unidose de 1 ml,SA,5
61446070,comprimé,23501,NERIUM OLEANDER POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un récipient unidose de 1 ml,SA,17
61446451,comprimé,55485,RÉPAGLINIDE,"0,5 mg",un comprimé,SA,1
61446889,comprimé,5562,VALPROATE DE SODIUM,500 mg,un comprimé,SA,1
61447165,gélule,3225,SUCCINATE DE DOXYLAMINE,10 mg,une gélule,SA,1
61447763,comprimé,95484,AMBRISENTAN,"2,5 mg",un comprimé,SA,1
61447770,comprimé,60707,IMATINIB,400 mg,un comprimé,FT,1
61448203,gélule,46715,ÉTHANOLAMINE (TÉNOATE D'),200 mg,une gélule,SA,1
61448776,solution,60217,MILRINONE,10 mg,10 ml de solution,SA,1
61449860,gélule,64391,LÉNALIDOMIDE,5 mg,une gélule,SA,1
61450026,gélule,1,CHLORHYDRATE DE LOPÉRAMIDE,2 mg,une gélule,SA,1
61451313,comprimé,37430,RISPÉRIDONE,"4,0 mg",un comprimé,SA,1
61451441,comprimé,655,THÉOPHYLLINE MONOHYDRATÉE,110 mg,un comprimé,SA,1
61451683,comprimé,1358,CARBIMAZOLE,20 mg,un comprimé,SA,1
61452187,comprimé,27380,DÉSOGESTREL,"0,075 mg",un comprimé,SA,1
61454131,comprimé,78635,SÉRUM DE YERSIN POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
61454213,solution,1099,SULFATE DE MORPHINE,50 mg,1 ml de solution injectable,SA,1
61454487,poudre,30925,CEFTRIAXONE DISODIQUE,"1,079 g","3,5 ml de solution injectable",SA,1
61455112,solution,2045,HEXÉTIDINE,"0,1 g",100 ml de solution pour bain de bouche,SA,1
61456011,comprimé,66431,CIPROFLOXACINE,250 mg,un comprimé,FT,1
61456303,comprimé,9401,SENEGA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
61457558,comprimé,977,SPIRONOLACTONE,50 mg,un comprimé,SA,1
61458546,comprimé,26727,ROSUVASTATINE CALCIQUE,,,SA,1
61458788,gélule,2463,NIFUROXAZIDE,200 mg,une gélule,SA,1
61458973,comprimé,39396,FUMARATE DE FÉSOTÉRODINE,8 mg,un comprimé,SA,1
61459178,solution,1080,ADRÉNALINE,"0,005 mg",1 ml,FT,2
61460668,solution,4546,FLUORURE DE SODIUM,220 mg,100 ml,SA,2
61461179,comprimé,1097,ALLOPURINOL,"200,00 mg",un comprimé,SA,1
61462270,solution,60630,GANIRÉLIX,"0,25 mg","une seringue pré-remplie de 0,5 mL",FT,1
61462480,poudre,5248,AMOXICILLINE ANHYDRE,100 mg,1 ml de suspension reconstituée,FT,1
61463881,comprimé,332,PODOPHYLLUM PELTATUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,1 ml de suspension reconstituée,SA,18
61464022,comprimé,5,ACIDE ACÉTYLSALICYLIQUE,100 mg,un comprimé,SA,1
61464150,comprimé,1901,CITRATE DE FENTANYL,,,SA,1
61465932,comprimé,602,CHLORHYDRATE DE MIANSÉRINE,10 mg,un comprimé,SA,1
61467125,poudre,32044,INFLIXIMAB ,100 mg,un flacon,SA,1
61467730,poudre,74694,"ISPAGHUL (GRAINE D'), TÉGUMENT DE LA","2,1430 g",un sachet-dose,SA,1
61469681,solution,71082,FONDAPARINUX SODIQUE,10 mg,"une seringue pré-remplie de 0,8 ml",SA,1
61471344,gélule,17407,ÉSOMÉPRAZOLE,20 mg,une gélule,FT,1
61471853,capsule,2092,IBUPROFÈNE,400 mg,une capsule,SA,1
61472713,comprimé,975,SPIRAMYCINE,750 000 U.I.,un comprimé,SA,1
61473085,comprimé,1097,ALLOPURINOL,300 mg,un comprimé,SA,1
61475588,comprimé,2825,PHÉNOBARBITAL,100 mg,un comprimé,SA,1
61475677,compartiment A,430,CALCIUM (CHLORURE DE) DIHYDRATÉ,"5,145 g",1000 ml,SA,6
61475862,solution,16496,BROMURE DE ROCURONIUM,10 mg,1 ml,SA,1
61476206,solution,258,NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES,167 mg (9DH),une ampoule de 1 ml,SA,2
61476882,comprimé,27387,CHLORHYDRATE D'ERLOTINIB,,,SA,1
61476925,poudre,30925,CEFTRIAXONE SODIQUE,,,SA,1
61477322,gélule,44109,DABRAFÉNIB,50 mg,une gélule,FT,1
61477564,comprimé,79600,CÉFUROXIME AXÉTIL,"300,75 mg",un comprimé,SA,1
61478851,comprimé,2092,IBUPROFÈNE,200 mg,un comprimé,SA,1
61479138,comprimé,66431,CIPROFLOXACINE,"500,0 mg",un comprimé,FT,1
61479921,gélule,81626,MIGLUSTAT,65 mg,une gélule,SA,1
61480293,solution,8173,ÉPOÉTINE ALFA ,"33,6 microgrammes",1 ml,SA,1
61480507,comprimé,527,GLICLAZIDE,60 mg,un comprimé,SA,1
61480724,pastille,4734,CHLORHYDRATE DE BENZYDAMINE,3 mg,une pastille,SA,1
61482159,comprimé,19809,ATORVASTATINE,20 mg,un comprimé,FT,1
61482173,comprimé,17878,LAMIVUDINE,150 mg,un comprimé,SA,1
61483122,comprimé,60707,IMATINIB,100 mg,un comprimé,FT,1
61483364,poudre,23684,PÉMÉTREXED,100 mg,un flacon,SA,1
61484295,comprimé,23144,PAREIRA BRAVA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un flacon,SA,28
61484459,comprimé,9231,AMISULPRIDE,400 mg,un comprimé,SA,1
61485002,comprimé,37430,RISPÉRIDONE,1 mg,un comprimé,SA,1
61485148,comprimé,1807,ÉTHINYLESTRADIOL,"0,020 mg",un comprimé,SA,2
61485696,gélule,70833,TRANDOLAPRIL,4 mg,une gélule,SA,1
61488347,comprimé,2493,NORÉTHANDROLONE,10 mg,un comprimé,SA,1
61489673,comprimé,38607,FUMARATE DE QUÉTIAPINE,50 mg,un comprimé,SA,1
61490049,comprimé,2019,HALOPÉRIDOL,1 mg,un comprimé,SA,1
61490953,gélule,4773,OMÉPRAZOLE,20 mg,une gélule,SA,1
61491578,gomme,30981,NICOTINE POLACRILEX,10 mg,une gomme à mâcher,SA,1
61491877,comprimé,74798,CLOZAPINE,100 mg,un comprimé,SA,1
61493159,poudre,30925,CEFTRIAXONE SODIQUE,"1193,00 mg",un flacon de poudre,SA,1
61493903,solution,12155,PHOSPHATE DIPOTASSIQUE,"174,2 mg",1 ml de solution pour perfusion,SA,1
61494243,solution,24245,CHLORHYDRATE D'AMBROXOL,"0,6 g",100 ml de solution buvable,SA,1
61494492,gélule,50540,SILODOSINE,8 mg,une gélule,SA,1
61495968,comprimé,2345,MÉTHOTREXATE,"2,5 mg",un comprimé,SA,1
61496251,solution,463,CLONAZÉPAM,"0,25 g",100 ml,SA,1
61496529,comprimé,31416,IRBÉSARTAN,150 mg,un comprimé,SA,1
61497143,capsule,2229,PROGESTÉRONE,200 mg,une capsule,SA,1
61497549,solution,1080,ADRÉNALINE,"0,009 mg","une cartouche de 1,8 ml",FT,2
61497766,granules,6696,HEPATINE POUR PRÉPARATIONS HOMÉOPATHIQUES,8 DH,"une cartouche de 1,8 ml",SA,21
61497951,comprimé,35876,CHLORHYDRATE DE ROPINIROLE,"0,285 mg",un comprimé,SA,1
61498569,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,5 mg",un comprimé,SA,2
61499240,gélule,20256,CHLORHYDRATE DE VENLAFAXINE,"84,90 mg",une gélule,SA,1
61500529,comprimé,7436,HÉMIFUMARATE DE BISOPROLOL,10 mg,un comprimé,SA,1
61500657,comprimé,251,HAMAMELIS POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
61500746,comprimé,1747,DISULFIRAME,"500,00 mg",un comprimé,SA,1
61501691,poudre,52513,STIRIPENTOL,250 mg,un sachet,SA,1
61501816,sirop,1270,BICLOTYMOL,"0,20000 g",100 ml de sirop,SA,3
61501937,comprimé,73594,CANDÉSARTAN CILEXÉTIL,32 mg,un comprimé,SA,1
61502487,comprimé,975,SPIRAMYCINE,750 000 U.I.,un comprimé,SA,1
61502971,solution,901,CHLORURE DE SODIUM,"0,9 g",100 ml,SA,1
61503742,comprimé,94553,ÉVÉROLIMUS,"10,0 mg",un comprimé,SA,1
61503831,comprimé,76057,NICORANDIL,10 mg,un comprimé,SA,1
61503895,granulés,4925,GOMME DE STERCULIA,62 g,100 g de granulés,SA,1
61505095,solution,2019,HALOPÉRIDOL,"50,00 mg",une ampoule de 1 ml,FT,1
61505362,comprimé,19755,DASATINIB MONOHYDRATÉ,,,SA,1
61506083,gélule,46435,CRIZOTINIB,250 mg,une gélule,SA,1
61506592,comprimé,35876,CHLORHYDRATE DE ROPINIROLE,"0,285 mg",un comprimé,SA,1
61509909,comprimé,89276,FÉBUXOSTAT,80 mg,un comprimé,SA,1
61510021,comprimé,10171,SIMVASTATINE,10 mg,un comprimé,SA,1
61510352,comprimé,998,ACÉNOCOUMAROL,4 mg,un comprimé,SA,1
61511073,comprimé,37430,RISPÉRIDONE,"2,0 mg",un comprimé,SA,1
61511155,poudre,1362,CLOXACILLINE SODIQUE,,,SA,1
61511543,comprimé,73594,CANDÉSARTAN CILEXÉTIL,16 mg,un comprimé,SA,1
61512136,comprimé,80180,NÉVIRAPINE ANHYDRE,200 mg,un comprimé,SA,1
61512314,collyre,49729,CARBOMÈRE 980,"0,13 g",100 g de solution,SA,1
61513373,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,50 mg",un comprimé,SA,2
61515189,comprimé,39727,AMLODIPINE,5 mg,un comprimé,FT,2
61515919,poudre,37430,RISPÉRIDONE,25 mg,un flacon,SA,1
61516533,comprimé,2064,HYDROCHLOROTHIAZIDE,25 mg,un comprimé,SA,2
61516679,comprimé,3682,MALÉATE D'ÉNALAPRIL,20 mg,un comprimé,SA,2
61517329,comprimé,86029,URICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES,3CH à 30CH et 6DH à 60DH,un comprimé,SA,17
61517592,poudre,1574,CYTARABINE,"100,00 mg",un flacon de 100 mg de poudre,SA,1
61519586,comprimé,2087,HYDROXYZINE (DICHLORHYDRATE DE),25 mg,un comprimé,SA,1
61520873,comprimé,39196,FOSINOPRIL SODIQUE,10 mg,un comprimé,SA,1
61521103,gélule,512,ASCORBATE FERREUX,245 mg,une gélule,SA,1
61521911,gélule,16849,GABAPENTINE,100 mg,une gélule,SA,1
61522753,suspension,63,SULFATE DE BARYUM,"100,00 g",100 mL de suspension buvable ou rectale,SA,1
61527330,gélule,11279,FLUCONAZOLE,200 mg,une gélule,SA,1
61527857,gélule,23957,LANSOPRAZOLE,15 mg,une gélule,SA,1
61528101,Grand compartiment : Solution de Bicarbonate,899,BICARBONATE DE SODIUM,"3,59 g",1000 mL de solution,SA,8
61528642,comprimé,51827,BILASTINE,20 mg,un comprimé,FT,1
61529057,gélule,13556,PANCRÉATINE ,300 mg,une gélule,SA,1
61529324,poudre,97773,TRASTUZUMAB ,150 mg,un flacon,SA,6
61529993,solution,30871,ÉMICIZUMAB ,150 mg,1 mL,SA,1
61530248,poudre,11279,FLUCONAZOLE,10 mg,1 ml de suspension reconstituée,SA,1
61530682,comprimé,58159,MUREX PURPUREA POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,1 ml de suspension reconstituée,SA,18
61530839,comprimé,23464,OENANTHE CROCATA POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 7DH à 60DH,1 ml de suspension reconstituée,SA,18
61532231,solution,2543,OXOMÉMAZINE,"0,033 g",100 ml de solution buvable,SA,1
61532847,comprimé,89276,FÉBUXOSTAT,120 mg,un comprimé,SA,1
61535074,comprimé,195,CÉFADROXIL,1 g,un comprimé,FT,1
61535416,poudre,6206,MACROGOL 4000,10 g,un sachet,SA,1
61535619,comprimé,17098,TÉRIFLUNOMIDE,7 mg,un comprimé,SA,1
61536144,comprimé jaune,1807,ÉTHINYLESTRADIOL,15 microgrammes,un comprimé,SA,1
61536443,collyre,51528,DORZOLAMIDE BASE,20 mg,1 ml,FT,1
61536799,comprimé,76057,NICORANDIL,20 mg,un comprimé,SA,1
61537673,comprimé,10171,SIMVASTATINE,40 mg,un comprimé,SA,2
61539037,comprimé,2940,HYDROXYDE D'ALUMINIUM,400 mg,un comprimé,SA,1
61539165,solution,8351,ÉNOXAPARINE SODIQUE ,100 mg,une seringue préremplie de 1 mL,SA,1
61539350,comprimé,2169,PREDNISOLONE,20 mg,un comprimé,FT,1
61540502,solution,62595,DALTÉPARINE SODIQUE ,10 000 UI anti Xa,une seringue préremplie de 1 ml,SA,1
61540819,comprimé,6736,THYROIDEA POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,une seringue préremplie de 1 ml,SA,18
61541141,comprimé,98159,TADALAFIL,5 mg,un comprimé,SA,1
61541629,poudre,1023,ACIDE ASCORBIQUE,200 mg,"un sachet de 13,1 g",SA,4
61541821,comprimé,25783,RANITIDINE (CHLORHYDRATE DE),168 mg,un comprimé,SA,1
61542325,comprimé,79270,CHLORHYDRATE DE RALOXIFÈNE,60 mg,un  comprimé,SA,1
61542706,comprimé,355,MALÉATE DE TRIMÉBUTINE,200 mg,un comprimé,SA,1
61543078,solution,23684,PÉMÉTREXED,25 mg,un 1 ml,SA,1
61543911,comprimé,26727,ROSUVASTATINE CALCIQUE,,,SA,1
61544116,comprimé,1328,MOLSIDOMINE,4 mg,un comprimé,SA,1
61545442,comprimé,842,NIFÉDIPINE,"20,00 mg",un comprimé,SA,1
61545645,comprimé,70898,ANANTHERUM MURICATUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,18
61546665,comprimé,31907,UTÉRINE POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,un comprimé,SA,18
61547030,comprimé,2064,HYDROCHLOROTHIAZIDE,"12,5 mg",un comprimé,SA,2
61547468,comprimé,1351,CARBAMAZÉPINE,200 mg,un comprimé,SA,1
61547571,comprimé,1958,FUROSÉMIDE,500 mg,un comprimé,SA,1
61548837,solution,3496,POVIDONE IODÉE,"4,0 g",100 ml,SA,1
61551064,sirop,4133,SULFATE DE CHLOROQUINE,"0,681 g",100 ml de sirop,SA,1
61552134,comprimé,24563,CLARITHROMYCINE,500 mg,un comprimé,SA,1
61553026,solution,42056,PEGFILGRASTIM ,6 mg,"une seringue préremplie de 0,6 mL",SA,1
61553841,comprimé,35876,CHLORHYDRATE DE ROPINIROLE,,,SA,1
61556061,comprimé,62004,OXCARBAZÉPINE,300 mg,un comprimé,SA,1
61556563,comprimé,15734,VALSARTAN,80 mg,un comprimé,SA,2
61556606,crème,4587,ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH (crème à 4 %),un comprimé,SA,23
61556809,gélule,20256,CHLORHYDRATE DE VENLAFAXINE,"42,43 mg",une gélule,SA,1
61558297,suspension,899,BICARBONATE DE SODIUM,267 mg,un sachet de 10 mL,SA,2
61558532,comprimé,35890,AMMONIUM PHOSPHORICUM  POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un sachet de 10 mL,SA,17
61558728,solution,1901,CITRATE DE FENTANYL,"3,140 mg",1 ml de solution,SA,1
61559164,comprimé,34551,MUQUEUSE NASALE POUR PRÉPARATIONS HOMÉOPATHIQUES,4CH à 30CH et 8DH à 60DH,1 ml de solution,SA,18
61561635,comprimé,2685,PHOSPHATE D'IPRONIAZIDE,"77,42 mg",un comprimé,SA,1
61562566,solution,34909,SUFENTANIL,10 microgrammes,2 ml,FT,1
61564058,pâte,676,VASELINE,"2,14 g",un sachet de 10 g,SA,2
61564097,crème,588,PROMESTRIÈNE,"1,00 g",100 g de crème,SA,1
61565950,gélule,4773,OMÉPRAZOLE,20 mg,une gélule,SA,1
61566714,comprimé,18256,ESCHSCHOLTZIA CALIFORNICA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,une gélule,SA,17
61567061,granulés,65061,FOSFOMYCINE TROMÉTAMOL,"5,631 g",un sachet,SA,1
61568462,solution,899,BICARBONATE DE SODIUM,"1,4 g",100 ml,SA,1
61568672,granules,6436,CALCAREA CARBONICA OSTREARUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,100 ml,SA,17
61569137,comprimé,55485,RÉPAGLINIDE,"0,5 mg",un comprimé,SA,1
61569781,poudre,2361,MÉTHYLPREDNISOLONE,"120,00 mg",un flacon de lyophilisat,FT,1
61569856,solution,1637,DIAZÉPAM,10 mg,2 ml de solution injectable,SA,1
61571533,comprimé,78568,GÉFITINIB,250 mg,un comprimé,SA,1
61572165,poudre,41788,PROPIONATE DE FLUTICASONE,250 microgrammes,une dose,SA,1
61572425,comprimé,34251,CITRATE DE SILDÉNAFIL,,,SA,1
61572507,comprimé,20890,TOPIRAMATE,100 mg,un comprimé,SA,1
61572941,comprimé,1785,ÉRYTHROMYCINE BASE,500 mg,un comprimé,FT,1
